Name,Comment,Repository
smi-ted,-,https://github.com/acceleratedscience/openad-service-smi-ted
bmfm-sm,-,https://github.com/acceleratedscience/openad-service-bmfm-sm
bmfm-pm,mammal,https://github.com/acceleratedscience/openad-service-bmfm-pm
reinvent4,,https://github.com/acceleratedscience/openad-service-reinvent4
gen,GT4SD,https://github.com/acceleratedscience/openad-service-gen
prop,GT4SD,https://github.com/acceleratedscience/openad-service-prop
moler,GT4SD,https://github.com/acceleratedscience/openad-service-moler
molf,GT4SD,https://github.com/acceleratedscience/openad-service-molf
